地點	風	雷	水	火	土
仙靈島	20%	0%	0%	0%	0%
十里坡	30%	20%	0%	0%	0%
餘杭客棧	0%	0%	0%	0%	0%
蘇州城外	-30%	-20%	0%	10%	0%
蘇州客棧	0%	0%	0%	0%	0%
擂台	0%	0%	0%	0%	0%
隱龍窟外	-30%	-20%	0%	10%	0%
隱龍窟	-20%	0%	20%	-30%	0%
玉佛寺外	30%	20%	0%	0%	0%
玉佛寺	0%	0%	0%	0%	0%
亂葬崗	0%	0%	0%	0%	0%
將軍塚	-10%	0%	0%	-10%	0%
血池	-10%	0%	-30%	-10%	0%
鬼陰山洞外	10%	0%	0%	0%	0%
鬼陰山	-20%	0%	0%	-10%	0%
鬼陰壇	0%	0%	0%	0%	0%
揚州城外	30%	20%	0%	-10%	0%
揚州城	30%	20%	0%	0%	0%
姬三娘的地窖	0%	0%	0%	0%	0%
蛤蟆谷&山洞	20%	0%	0%	0%	0%
劉尚書府內	0%	0%	0%	20%	0%
劉尚書府外	0%	0%	0%	30%	0%
蜀山之巔	30%	20%	50%	-50%	0%
鎖妖塔L1~L6	-10%	0%	0%	-10%	0%
鎖妖塔L7~L8	-10%	0%	-30%	-10%	0%
鎖妖塔L9	-30%	0%	0%	0%	-20%
七星磐龍柱	-30%	0%	0%	0%	-20%
神木林	-30%	-20%	0%	40%	0%
木道人的樹洞	-10%	0%	-30%	-10%	0%
桃花林	-10%	-20%	0%	20%	0%
桃源村後（木道人戰鬥地點）	-20%	-20%	0%	20%	0%
大理城（黑苗奸細戰鬥地點）	0%	0%	0%	0%	0%
麒麟洞	0%	0%	-50%	30%	0%
南紹國	30%	20%	0%	-10%	0%
水底牢籠（水魔獸第一次戰鬥地點）	-60%	40%	20%	-100%	-20%
水底L1	0%	0%	0%	0%	0%
水底L2	-60%	40%	20%	-100%	-20%
試煉窟（窟內及路上）	20%	0%	0%	0%	0%
大理	0%	0%	0%	30%	0%
無底深淵	-20%	0%	0%	-10%	0%
地底王宮	0%	0%	0%	0%	0%
黑苗王宮	-20%	0%	0%	0%	0%